 0.0000000e+00  0.0000000e+00  0.0000000e+00
 6.4374947e-05 -3.8105884e-21  1.0791200e-05
 1.4713868e-04 -8.6323535e-21  5.4671882e-05
 2.4828814e-04 -4.8348707e-21  1.5115123e-04
 3.6781963e-04 -1.3193531e-21  3.2102154e-04
 5.0572874e-04 -2.1109649e-21  5.8498262e-04
 6.6201039e-04 -5.4279592e-21  9.6237869e-04
 8.3665885e-04 -1.7536229e-21  1.4701719e-03
 1.0296677e-03  9.4629462e-21  2.1222398e-03
 1.2410298e-03 -7.7424105e-22  2.9290004e-03
 1.4707374e-03 -3.2703413e-20  3.8973142e-03
 1.7187821e-03  2.5093351e-20  5.0306429e-03
 1.9851547e-03 -5.6248282e-20  6.3294715e-03
 2.2698454e-03 -6.1224600e-20  7.7918475e-03
 2.5728438e-03  7.0541963e-21  9.4137851e-03
 2.8941387e-03 -1.0741437e-19  1.1189563e-02
 3.2337183e-03  3.5151867e-20  1.3112129e-02
 3.5915701e-03  8.8038487e-20  1.5173584e-02
 3.9676809e-03 -1.4042218e-19  1.7365565e-02
 4.3620370e-03  9.3014806e-20  1.9679500e-02
 4.7746238e-03 -1.7152417e-20  2.2106756e-02
 5.2054261e-03 -2.1244645e-19  2.4638743e-02
 5.6544280e-03 -4.7079150e-19  2.7267022e-02
 6.1216132e-03  3.7047104e-19  2.9983385e-02
 6.6069643e-03  6.7921454e-20  3.2779902e-02
 7.1104636e-03 -5.8286455e-20  3.5648944e-02
 7.6320924e-03 -2.1694631e-19  3.8583190e-02
 8.1718317e-03 -1.4145450e-19  4.1575647e-02
 8.7296616e-03 -2.7602686e-19  4.4619674e-02
 9.3055615e-03  6.9901394e-19  4.7709042e-02
 9.8995103e-03 -4.8778510e-19  5.0837973e-02
 1.0511486e-02  1.6908895e-19  5.4001146e-02
 1.1141466e-02 -5.5247724e-19  5.7193728e-02
 1.1789428e-02 -4.2097537e-19  6.0411436e-02
 1.2455347e-02  2.0879362e-19  6.3650532e-02
 1.3139200e-02  2.7359164e-19  6.6907781e-02
 1.3840960e-02 -4.3812779e-19  7.0180418e-02
 1.4560602e-02 -6.0139339e-20  7.3466122e-02
 1.5298099e-02  7.3882449e-19  7.6762985e-02
 1.6053425e-02 -2.5622747e-19  8.0069460e-02
 1.6826552e-02 -9.6900569e-19  8.3384326e-02
 1.7617451e-02  6.0012284e-19  8.6706707e-02
 1.8426093e-02  5.5353603e-19  9.0036035e-02
 1.9252449e-02 -9.2199536e-19  9.3371948e-02
 2.0096488e-02 -1.7016892e-18  9.6714110e-02
