 0.0000000e+00  5.0000000e-01  0.0000000e+00
 3.2187473e-05  4.9924240e-01  4.5270000e-04
 1.0575681e-04  4.9751078e-01  1.4874142e-03
 1.9771341e-04  4.9534638e-01  2.7807304e-03
 3.0805389e-04  4.9274929e-01  4.3325712e-03
 4.3677418e-04  4.8971967e-01  6.1427852e-03
 5.8386956e-04  4.8625775e-01  8.2110745e-03
 7.4933462e-04  4.8236392e-01  1.0536881e-02
 9.3316326e-04  4.7803880e-01  1.3119221e-02
 1.1353487e-03  4.7328339e-01  1.5956462e-02
 1.3558836e-03  4.6809923e-01  1.9046039e-02
 1.5947597e-03  4.6248862e-01  2.2384123e-02
 1.8519684e-03  4.5645485e-01  2.5965242e-02
 2.1275000e-03  4.5000255e-01  2.9781889e-02
 2.4213446e-03  4.4313796e-01  3.3824130e-02
 2.7334912e-03  4.3586927e-01  3.8079263e-02
 3.0639285e-03  4.2820700e-01  4.2531539e-02
 3.4126442e-03  4.2016423e-01  4.7161982e-02
 3.7796255e-03  4.1175694e-01  5.1948344e-02
 4.1648590e-03  4.0300414e-01  5.6865187e-02
 4.5683304e-03  3.9392809e-01  6.1884116e-02
 4.9900249e-03  3.8455424e-01  6.6974153e-02
 5.4299271e-03  3.7491123e-01  7.2102239e-02
 5.8880206e-03  3.6503069e-01  7.7233845e-02
 6.3642888e-03  3.5494698e-01  8.2333658e-02
 6.8587139e-03  3.4469682e-01  8.7366323e-02
 7.3712780e-03  3.3431882e-01  9.2297189e-02
 7.9019621e-03  3.2385293e-01  9.7093035e-02
 8.4507467e-03  3.1333990e-01  1.0172274e-01
 9.0176116e-03  3.0282062e-01  1.0615787e-01
 9.6025359e-03  2.9233550e-01  1.1037317e-01
 1.0205498e-02  2.8192384e-01  1.1434689e-01
 1.0826476e-02  2.7162327e-01  1.1806108e-01
 1.1465447e-02  2.6146916e-01  1.2150166e-01
 1.2122388e-02  2.5149425e-01  1.2465846e-01
 1.2797273e-02  2.4172815e-01  1.2752513e-01
 1.3490080e-02  2.3219717e-01  1.3009894e-01
 1.4200781e-02  2.2292400e-01  1.3238056e-01
 1.4929351e-02  2.1392769e-01  1.3437372e-01
 1.5675762e-02  2.0522357e-01  1.3608495e-01
 1.6439989e-02  1.9682337e-01  1.3752313e-01
 1.7222002e-02  1.8873527e-01  1.3869921e-01
 1.8021772e-02  1.8096416e-01  1.3962577e-01
 1.8839271e-02  1.7351188e-01  1.4031667e-01
 1.9674468e-02  1.6637747e-01  1.4078676e-01
 2.0527333e-02  1.5955751e-01  1.4105149e-01
 2.1397834e-02  1.5304645e-01  1.4112668e-01
 2.2285938e-02  1.4683689e-01  1.4102823e-01
 2.3191614e-02  1.4091999e-01  1.4077190e-01
 2.4114829e-02  1.3528570e-01  1.4037310e-01
 2.5055547e-02  1.2992313e-01  1.3984675e-01
 2.6013735e-02  1.2482072e-01  1.3920709e-01
 2.6989357e-02  1.1996659e-01  1.3846762e-01
 2.7982378e-02  1.1534863e-01  1.3764099e-01
 2.8992761e-02  1.1095477e-01  1.3673894e-01
 3.0020468e-02  1.0677308e-01  1.3577232e-01
 3.1065462e-02  1.0279188e-01  1.3475109e-01
